,a (AU),e,i (deg),w (deg),Node (deg),M (deg),q (AU),H (mag),MOID (AU),class
0,0.3482990663280533,0.422950084,0.9227820312432203,0.0759936145840255,0.9339652738702264,0.7437001655920096,0.9590613046624624,0.0,0.9062168597554876,0
1,0.368674302313432,0.44549430100000004,-0.39165632976700604,0.046321682636435824,0.20803740979947283,0.7316909665413007,0.9558565078052311,0.5843373493975901,0.7579886747904037,0
2,0.5732387608915684,0.590737634,-0.24232471135401923,0.8995409550356749,0.8389180925668895,0.4589526836908104,0.961955959888349,0.5783132530120478,0.8523120635492326,0
3,0.44710479225230715,0.5069152170000001,0.24555376111577254,0.023088266724234356,0.5431983260626868,0.9131969497642937,0.9693993590406284,0.6626506024096388,0.6554014846829541,0
4,0.4308534493814632,0.49195162,0.050670995753941586,0.9585867016166184,0.8713272162350123,0.9352055132531976,0.9739481029670215,0.28915662650602414,0.6020369369910159,0
5,0.20692548495048738,0.212721648,-0.02098635379699515,0.5130349955911767,0.7350410349315751,0.5704356960594655,0.9689858368655019,0.3493975903614457,0.9413130039818316,0
6,0.44309604604223796,0.507546023,2.4722741390869234,0.014350558760512932,0.05503497315928458,0.1443142151677616,0.961335676625659,0.09638554216867479,0.5540348560337756,0
7,0.5300082582549676,0.566491502,-0.22141265568969143,0.5031531993912569,0.6295319508591573,0.4596483353241893,0.9615424377132221,0.32530120481927716,0.6650859395321849,0
8,0.37625957967196677,0.45240823399999996,1.2047203370906416,0.007957107498045214,0.4821574520697076,0.2736786971293083,0.9566835521554843,0.4698795180722892,0.48740420593473,0
9,0.5192496990452786,0.5583385479999999,-0.5302373879980273,0.7733120262303698,0.7350532075033733,0.20322842576964464,0.9654708983769252,0.42168674698795217,0.8936710887008025,0
10,0.4601674575256747,0.5153770679999999,-0.14098150479055072,0.5068657285289665,0.32272574500389256,0.41981222735091916,0.9723973948102967,0.4337349397590362,0.3631870660503832,0
11,0.4903694581391317,0.540934789,2.1798389824155353,0.01127463058878019,0.7424573539540308,0.0574453931880795,0.9626796236948206,0.19277108433734935,0.18998739420133262,0
12,0.5495929968945468,0.571811251,0.25474831680111215,0.9609477169247439,0.6950069780399968,0.9935604162361742,0.9767393776491263,0.3855421686746987,0.6792524561298198,0
13,0.4885798386367187,0.536138849,0.11076584759434144,0.5722928105124608,0.3673480174702834,0.44197645981561356,0.9709500671973533,0.3855421686746987,0.9237849410728936,0
14,0.35382782667331714,0.428141151,-0.002165049311449082,0.5353304941995497,0.48886052154527126,0.8584559432399799,0.9601984906440607,0.6987951807228914,0.4925465714228545,0
15,0.3355591246666516,0.39524334299999997,0.024685543794208894,0.46550764525420735,0.2982148607238351,0.7365021967552355,0.9837692546262792,0.5662650602409638,0.6687276147027633,0
16,0.1444776976308986,0.075796228,1.0626332395624372,0.10164770540901051,0.8068455951211287,0.2777435025885283,0.9600951101002791,0.4337349397590362,0.4042459531384437,0
17,0.3878956718330866,0.449838343,0.22262173665277785,0.536868119699576,0.23395533129178675,0.030867795234586614,0.9831489713635894,0.5301204819277108,0.7070452408107729,0
18,0.24825682745716923,0.290415627,-0.25177844774233205,0.4515641811132402,0.9270628282491005,0.14422393686236337,0.9625762431510388,0.7469879518072289,0.8345839085979551,0
19,0.17329536277354515,0.127373771,0.0028466020291126734,0.5951226708067837,0.32549257999768133,0.9449943708093758,0.9857334849581308,0.8192771084337349,0.9780699121595935,0
20,0.37334613523398585,0.449503463,-0.4979322450063677,0.45568702839703373,0.22776611297794416,0.6649774652178089,0.9568903132430476,0.8072289156626509,0.18352442123376753,0
21,0.6119673954668935,0.610679192,0.2954662745972277,0.5288571102268077,0.22371125603757805,0.3738557565908612,0.9611289155380957,0.4698795180722892,0.26512195609980593,0
22,0.3918749727946498,0.463522965,-0.18872735128300194,0.028646187258878904,0.5650141061487031,0.16316448554702942,0.9635066680450738,0.5180722891566263,0.48972527362586793,0
23,0.41285116232782526,0.479649968,0.3498183998771946,0.4298775595276502,0.28614044455027826,0.20372910892840182,0.9683655536028121,0.6265060240963858,0.8057106268883687,0
24,0.402861148693077,0.468616184,-0.37007907071283425,0.5297272549526045,0.4407989378027092,0.05196168178204533,0.9730176780729866,0.6867469879518073,0.589411129119395,0
25,0.5208604709359937,0.551163281,-0.2675034814398138,0.44281104995193066,0.47699650569128366,0.6472584057951795,0.9851132016954408,0.6024096385542173,0.9288072513356145,0
26,0.3785832062756517,0.446447172,-0.561890455951909,0.5639452400320517,0.8989175107064485,0.8649506178472756,0.9725007753540783,0.8554216867469879,0.8442483542429517,0
27,0.3680207745510533,0.44433765799999997,0.49593150859640656,0.5010603181733295,0.8882262831008145,0.049432788814908736,0.9567869326992658,0.7228915662650603,0.636432759069172,0
28,0.799210874101996,0.681451129,1.4956504784619278,0.4840999263923573,0.4024396824555175,0.865138034338481,0.9695027395844101,0.6385542168674698,0.4234547892030334,0
29,0.673755181987219,0.638875214,-0.2883262916308689,0.4481373997689121,0.860919479422769,0.18270533853054252,0.9595782073813707,0.49397590361445776,0.8878083918602558,0
