,a (AU),e,i (deg),w (deg),Node (deg),M (deg),q (AU),H (mag),MOID (AU),class
0,0.13611295413709526,0.8268539420000001,0.97133546550904,0.08593043627335974,0.24428719962509382,0.598923725678499,0.09707433061097902,0.3373493975903612,0.6902575184584908,2
1,0.1875157303863463,0.335342019,0.289177837095657,0.7695342942586403,0.9370434386435209,0.2893586537649023,0.7597436162514214,0.18072289156626486,0.6134621926085999,2
2,0.25665976678637803,0.559921778,-0.21298428242199854,0.7944814440231439,0.09896827783949533,0.4852338303002974,0.5729349736379613,0.25903614457831314,0.5159373311723392,2
3,0.35063884171416515,0.650140732,2.194087112453976,0.7441931756447394,0.9917956462986519,0.4812378187681846,0.5464695544298562,0.13253012048192758,0.07085259219240851,2
4,0.38079042271838504,0.7646015690000001,-0.5743802927129298,0.11935766247660166,0.9717566494284429,0.6534854861404819,0.3601778145353044,0.5662650602409638,0.23280709126198054,2
5,0.20130869622138095,0.299195544,3.9318490851785373,0.16993015445522255,0.26195427023227424,0.9861814644086787,0.8388297322443915,0.22891566265060237,0.8730816175440703,2
6,0.296419713506584,0.502890862,0.9883327558703775,0.8084747407045805,0.5311978393521875,0.7734628716163503,0.7261449395223818,0.4626506024096386,0.2019929167417012,2
7,0.4732652265759928,0.713051688,-0.4883945619374835,0.2721349023463905,0.20810558087186115,0.5397960638383117,0.5492608291119611,0.13855421686746983,0.0616883766532605,2
8,0.06411768330218906,0.44988416600000003,-0.24881788931658913,0.10971867631789306,0.5876986037118299,0.11688554592895369,0.3839553396050863,0.7349397590361444,0.13734317786181643,4
9,0.3482990663280533,0.422950084,0.9227820312432203,0.0759936145840255,0.9339652738702264,0.7437001655920096,0.9590613046624624,0.0,0.9062168597554876,0
10,0.19547988940856434,0.889916185,0.9298192090035587,0.8955836027189058,0.7369794331054312,0.3442468147302995,0.04869223612116201,0.06024096385542155,0.3925205594573505,2
11,0.1764930276264112,0.32288265,-0.47671172339623386,0.8384699316356847,0.5267067816776797,0.7875952036536699,0.7506461283986353,0.5939759036144578,0.2782680032815095,2
12,0.10889309022246055,0.468571561,0.043269495439252854,0.15180294491444138,0.42342813603406276,0.2118791171508913,0.44774113511837077,0.5060240963855422,0.27320567461032075,4
13,0.480607380849264,0.5410908529999999,0.30310181331085045,0.5672418028215673,0.22782324625456546,0.014562494902793382,0.9472759226713533,0.28915662650602414,0.44252356083798555,2
14,0.368674302313432,0.44549430100000004,-0.39165632976700604,0.046321682636435824,0.20803740979947283,0.7316909665413007,0.9558565078052311,0.5843373493975901,0.7579886747904037,0
15,0.6134236720114546,0.630563119,-0.46926382089959867,0.2631621350613955,0.7420490936742188,0.7042840560204094,0.9089217409283571,0.227710843373494,0.8700402185005103,2
16,0.1304539062512343,0.443905194,0.13334818768743625,0.824351303061848,0.43886429367479285,0.14107763214421531,0.5132843998759433,0.5180722891566263,0.38549732877123477,2
17,0.584055866353193,0.6294368229999999,-0.6375922654076541,0.7746168096451789,0.34536858055214925,0.05428518053492212,0.8753230641993176,0.14457831325301207,0.12227624707365388,2
18,0.41407038925382944,0.634373193,-0.1876851139880671,0.6565771351527064,0.8194427202145359,0.7438340677892459,0.6533650367000929,0.03614457831325302,0.5703623666886768,2
